(1, 419-988-2115, 45.85029, France, Thiers, 63304 CEDEX)
(2, 754-835-9947, 29.301449, China, Jinglongqiao, )
(3, 856-180-2490, 24.874132, China, Tuanzhou, )
(4, 989-148-2162, 59.341383, Sweden, Stockholm, 113 90)
(5, 450-405-8704, -20.6869406, Brazil, Alegre, 29500-000)
(6, 255-688-1942, 13.1680197, Honduras, El Guapinol, )
(7, 202-924-8184, 40.6282676, Greece, Limenária, )
(8, 430-321-9006, 8.99214, Vietnam, Xom Tan Long, )
(9, , -24.2530306, , , 84200-000)
(10, 353-649-9259, 1.352083, Singapore, Singapore, )
(11, 688-226-7168, -6.2023936, Indonesia, Tangerang, )
(12, 684-186-8891, -0.5083679, Brazil, Soure, 68870-000)
(13, 584-941-9639, 49.8474618, Poland, Kozy, 43-340)
(14, 610-116-8553, 10.2704687, Costa Rica, Juntas, 11803)
(15, 834-519-8981, 56.7155821, Sweden, Färjestaden, 386 94)
(16, 309-636-4210, 22.517585, China, Hongshan, )
(17, 981-234-4506, 56.071894, Russia, Povarovo, 141540)
(18, 734-210-1794, -3.3245445, Laos, Lamam, )
(19, 731-357-2322, 6.7954977, Sri Lanka, Moratuwa, 10400)
(20, 664-535-6121, -8.8071005, Indonesia, Labuhanlalar, )
(21, 470-326-9670, 9.8996343, Philippines, Dagohoy, 6322)
(22, 481-188-9214, 50.1327056, Poland, Rudnik, 47-411)
(23, 752-229-4958, 47.1910839, Hungary, Székesfehérvár, 8011)
(24, 452-641-1057, -13.47751, Peru, Lanlacuni Bajo, )
(25, 933-962-3476, -8.1145, Indonesia, Banjar Banyuning Barat, )
(26, 882-843-5791, 22.302496, China, Shenwan, )
(27, 126-384-4331, -33.4442688, Chile, Lo Prado, )
(28, 311-867-7255, 38.2587716, Portugal, Alvito, 7920-015)
(29, 581-450-5371, -8.1637036, Peru, Moche, )
(30, 853-372-3863, 41.1693186, Portugal, Fanzeres, 4510-469)
(31, 304-377-2204, 61.0962323, Russia, Svetogorsk, 188992)
(32, 792-141-5414, 53.36678, Canada, Nipawin, V9B)
(33, 685-656-8062, 13.9052519, Philippines, Sinuknipan, 4411)
(34, 392-417-5912, 36.933812, China, Yucheng, )
(35, 976-739-5382, -8.2666267, Indonesia, Munduk, )
(36, 913-691-0470, 33.8941993, Iran, Borūjerd, )
(37, 291-900-3422, 17.6992092, Philippines, Alabug, 4507)
(38, 752-607-2910, 36.77549, China, Hanting, )
(39, 669-337-8983, 51.0846, Russia, Bobrov, 397706)
(40, 244-508-6572, 20.3983828, Laos, Viengxay, )
(41, 591-579-3867, 23.2008019, China, Sanhu, )
(42, 989-458-5420, 55.8569131, Sweden, Landskrona, 261 27)
(43, 653-724-2288, 44.7791213, Serbia, Badovinci, )
(44, 107-194-6050, 34.9540542, Japan, Kyoto, 612-8447)
(45, 367-208-6056, -4.1164768, Brazil, Guaiúba, 61890-000)
(46, 833-898-4339, 8.5052219, Philippines, Dado, 5037)
